#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-362.1896,301,595.383283
-333.121,301,595.383283
-330.0659,301,601.085253
-365.11676,301,601.085253
-346.4169,301,601.085253
-426.81265,301,601.085253
-437.86124,301,606.8663
-363.68967,301,606.8663
-394.7379,301,606.8663
-393.7501,301,606.8663
-379.4686,301,612.811025
-374.51453,301,612.811025
-445.48184,301,612.811025
-380.07916,301,612.811025
-349.52304,301,618.605079
-367.38287,301,618.605079
-353.43585,301,618.605079
-384.03812,301,618.605079
-379.4307,301,624.524916
-357.52682,301,624.524916
-386.82782,301,624.524916
-390.6367,301,624.524916
-391.8783,301,630.402769
-331.34253,301,630.402769
-385.2254,301,630.402769
-360.29614,301,630.402769
-371.6241,301,636.334313
-390.43896,301,636.334313
-378.68796,301,636.334313
-383.72943,301,636.334313
-368.0729,301,642.332071
-388.85873,301,642.332071
-388.12143,301,642.332071
-369.98392,301,642.332071
-407.2413,301,648.360246
-370.39832,301,648.360246
-369.11334,301,648.360246
-383.877,301,648.360246
-350.0085,301,653.958128
-375.74738,301,653.958128
-392.15378,301,653.958128
-412.42258,301,653.958128
-342.3815,301,659.590443
-358.15085,301,659.590443
-393.43823,301,659.590443
-367.05942,301,659.590443
-344.02124,301,665.184201
-403.0903,301,665.184201
-336.92783,301,665.184201
-367.9421,301,665.184201
-390.232,301,670.812636
-401.68622,301,670.812636
-373.61902,301,670.812636
-436.24673,301,670.812636
-399.73706,301,676.389913
-392.21057,301,676.389913
-390.77133,301,676.389913
-376.30273,301,676.389913
-373.53296,301,682.009023
-324.68933,301,682.009023
-404.9234,301,682.009023
-381.91708,301,682.009023
-423.76718,301,687.622661
-384.83044,301,687.622661
-355.23575,301,687.622661
-363.4334,301,687.622661
-371.8357,301,693.24627
-406.3629,301,693.24627
-391.02563,301,693.24627
-385.3527,301,693.24627
-379.7767,301,698.861303
-363.09204,301,698.861303
-374.61993,301,698.861303
-458.85626,301,698.861303
-451.94012,301,704.430114
-335.68567,301,704.430114
-361.79947,301,704.430114
-339.31122,301,704.430114
-715.90826,301,710.057114
-448.35672,301,710.057114
-685.0951,301,710.057114
-998.55585,301,710.057114
-61.86312,46,710.939606
-14.82621,48,711.834995
-785.16174,301,715.67334
-279.59998,301,715.67334
-674.7244,301,715.67334
-38.46076,47,716.551533
-316.71658,301,717.462066
-311.1515,301,721.285909
-774.9458,301,721.285909
-1010.5243,301,722.182013
-672.37195,301,723.076226
-270.80908,301,726.906575
-686.13385,301,726.906575
-11.522888,45,727.746849
-452.79947,301,727.793726
-517.9682,301,728.673612
-353.24963,301,732.599008
-269.21582,301,733.430653
-462.13947,301,733.461915
-506.65982,301,734.35701
-794.8373,301,738.212523
-794.2336,301,739.061201
-288.37375,301,739.108074
-212.56517,301,739.988092
-675.857,301,743.847881
-417.6059,301,744.680029
-227.75247,301,744.71128
-404.16592,301,745.606323
-601.6489,301,749.454705
-726.6276,301,750.27609
-405.03156,301,750.322967
-318.81918,301,751.246578
-93.3103,53,751.336726
-465.28906,301,755.122184
-491.92776,301,755.986812
-604.9665,301,756.86694
